SEXO,IDADE,FX_ID,ESCOLARIDADE,P1A,P1B,P1C,P2_1,P2_2,P2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P4,RACA,RELIGIAO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA
FEM,18.0,18 A 24,1ª série,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Melhorar a qualidade da saúde,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,SUL,INTERIOR,DE 20.001 A 50.000,189713352.0,2023-09-05,Face a face
FEM,70.0,65 E MAIS,4ª série (ou 5º ano),Não,Não,Não,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 20.001 A 50.000,189648860.0,2023-09-04,Face a face
FEM,71.0,65 E MAIS,8ª série (ou 9º ano),Não,Não,Não,Reduzir a violência,Aumentar os impostos de grandes fortunas (ou dos mais ricos),Defender a igualdade entre homens e mulheres,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Branca,Universal do Reino de Deus,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,189702155.0,2023-09-05,Face a face
MAS,48.0,45 A 54,3ª série,Não,Não,Não,Incentivar a geração de empregos,Melhorar a qualidade da saúde,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Nenhuma vontade,Parda,"Ateu, não tem religião",MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,PERIFERIA,MAIS DE 500.000,189606195.0,2023-09-03,Face a face
MAS,45.0,45 A 54,8ª série (ou 9º ano),Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Ampliar o uso de energias renováveis,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,189605087.0,2023-09-03,Face a face
FEM,44.0,35 A 44,1ª série,Não,Não,Não,Incentivar a geração de empregos,Reduzir a violência,Melhorar a qualidade da educação,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Parda,Outras Evangélicas específicas,ATÉ 1,MAIS DE 1 A 2,NORDESTE,PERIFERIA,DE 10.001 A 20.000,189658570.0,2023-09-04,Face a face
MAS,46.0,45 A 54,3ª série,Sim,Sim,Sim,Reduzir a violência,Incentivar a geração de empregos,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUL,PERIFERIA,DE 20.001 A 50.000,189567861.0,2023-09-02,Face a face
FEM,36.0,35 A 44,4ª série (ou 5º ano),Não,Não,Não,Incentivar a geração de empregos,Reduzir as desigualdades sociais,Aumentar os impostos de grandes fortunas (ou dos mais ricos),"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)","Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,Nenhuma vontade,Parda,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,189635997.0,2023-09-04,Face a face
MAS,30.0,25 A 34,Superior incompleto,Sim,Sim,Sim,Melhorar a qualidade da saúde,,,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,NÃO RESPONDEU,NÃO RESPONDEU,SUL,PERIFERIA,DE 100.001 A 500.000,189559718.0,2023-09-02,Face a face
MAS,42.0,35 A 44,8ª série (ou 9º ano),Não,Não,Não,Reduzir a violência,Melhorar a qualidade da saúde,Incentivar a geração de empregos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUL,INTERIOR,DE 100.001 A 500.000,189566228.0,2023-09-02,Face a face
FEM,28.0,25 A 34,Superior completo,Sim,Sim,Não,Não sabe/ Não respondeu,,,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Parda,É religioso mas não segue nenhuma/ Agnóstico,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 100.001 A 500.000,189600459.0,2023-09-03,Face a face
MAS,29.0,25 A 34,Superior completo,Sim,Sim,Sim,Reduzir as desigualdades sociais,Combater as mudanças climáticas/desmatamento,Incentivar a geração de empregos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Parda,Espírita/ Kardecista,MAIS DE 5 A 10,MAIS DE 5 A 10,CENTRO OESTE,INTERIOR,DE 100.001 A 500.000,189596428.0,2023-09-03,Face a face
FEM,47.0,45 A 54,5ª série (ou 6º ano),Não,Não,Não,Não sabe/ Não respondeu,,,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 5.001 A 10.000,189567166.0,2023-09-02,Face a face
MAS,35.0,35 A 44,7ª série (ou 8º ano),Não,Não,Não,Incentivar a geração de empregos,Combater as mudanças climáticas/desmatamento,Preservar os valores ligados à família,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 10.001 A 20.000,189631709.0,2023-09-04,Face a face
FEM,56.0,55 A 64,4ª série (ou 5º ano),Sim,Sim,Não,Reduzir as desigualdades sociais,Reduzir a violência,Aumentar os impostos de grandes fortunas (ou dos mais ricos),Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUDESTE,PERIFERIA,MAIS DE 500.000,189556245.0,2023-09-02,Face a face
FEM,60.0,55 A 64,8ª série (ou 9º ano),Não,Não,Não,Incentivar a geração de empregos,Preservar os valores ligados à família,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 10.001 A 20.000,189551186.0,2023-09-02,Face a face
MAS,29.0,25 A 34,8ª série (ou 9º ano),Sim,Não,Não,Melhorar a qualidade da saúde,Reduzir as desigualdades sociais,,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Preta,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 100.001 A 500.000,189593405.0,2023-09-03,Face a face
MAS,64.0,55 A 64,8ª série (ou 9º ano),Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Defender a igualdade entre homens e mulheres,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,PERIFERIA,DE 100.001 A 500.000,189519356.0,2023-09-01,Face a face
FEM,66.0,65 E MAIS,4ª série (ou 5º ano),Não,Não,Não,Reduzir a violência,Ampliar o uso de energias renováveis,Preservar os valores ligados à família,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 50.001 A 100.000,189658099.0,2023-09-04,Face a face
MAS,46.0,45 A 54,7ª série (ou 8º ano),Não,Não,Não,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Não sabe/ Não respondeu,,,,,,Alguma vontade,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,PERIFERIA,MAIS DE 500.000,189701766.0,2023-09-05,Face a face
MAS,34.0,25 A 34,3ª série,Não,Não,Não,Preservar os valores ligados à família,Reduzir a violência,Ampliar o uso de energias renováveis,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,Nenhuma vontade,Branca,Evangelho Quadrangular,MAIS DE 2 A 5,MAIS DE 2 A 5,SUL,INTERIOR,DE 10.001 A 20.000,189706706.0,2023-09-05,Face a face
MAS,37.0,35 A 44,8ª série (ou 9º ano),Sim,Sim,Sim,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)","Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Alguma vontade,Preta,"Ateu, não tem religião",ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,MAIS DE 500.000,189695572.0,2023-09-05,Face a face
FEM,70.0,65 E MAIS,1ª série (ou 2º ano),Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",,,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Preta,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,INTERIOR,ATÉ 5.000,189706425.0,2023-09-05,Face a face
